# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:P'
# Event count (approx.): 1305366482
#
# Overhead  Command          Shared Object                     Symbol                                                                                                                                                                                                                                                              
# ........  ...............  ................................  ....................................................................................................................................................................................................................................................................
#
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a81d
     0.06%  tracker-extract  libgstreamer-1.0.so.0.2402.0      [.] 0x00000000000bbd5d
     0.06%  Xorg             [kernel.kallsyms]                 [k] psi_group_change
     0.06%  Xorg             [i915]                            [k] intel_psr_get_config
     0.06%  gnome-terminal-  libgobject-2.0.so.0.8000.0        [.] 0x000000000003b460
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000fb99
     0.06%  swapper          [kernel.kallsyms]                 [k] timerqueue_del
     0.06%  tracker-extract  libgstreamer-1.0.so.0.2402.0      [.] 0x00000000000dc884
     0.06%  swapper          [kernel.kallsyms]                 [k] nohz_run_idle_balance
     0.06%  tracker-extract  libc.so.6                         [.] argz_replace
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a88b
     0.06%  tracker-extract  [kernel.kallsyms]                 [k] strncpy_from_user
     0.06%  tracker-extract  libglib-2.0.so.0.8000.0           [.] 0x0000000000044670
     0.06%  swapper          [kernel.kallsyms]                 [k] refresh_cpu_vm_stats
     0.06%  tracker-extract  libgstreamer-1.0.so.0.2402.0      [.] 0x00000000000dc84e
     0.06%  tracker-miner-f  [kernel.kallsyms]                 [k] copy_present_pte
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a5e0
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a5fd
     0.06%  tracker-extract  [kernel.kallsyms]                 [k] perf_event_mmap_event
     0.06%  swapper          [kernel.kallsyms]                 [k] sched_clock_cpu
     0.06%  gnome-shell      libglib-2.0.so.0.8000.0           [.] g_mutex_unlock
     0.06%  swapper          [kernel.kallsyms]                 [k] irq_work_needs_cpu
     0.06%  tracker-extract  [kernel.kallsyms]                 [k] next_uptodate_folio
     0.06%  gnome-shell      libglib-2.0.so.0.8000.0           [.] g_mutex_lock
     0.06%  tracker-extract  [kernel.kallsyms]                 [k] do_anonymous_page
     0.06%  swapper          [kernel.kallsyms]                 [k] timerqueue_iterate_next
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a470
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a9be
     0.06%  gnome-shell      [kernel.kallsyms]                 [k] update_rq_clock
     0.06%  perf             [kernel.kallsyms]                 [k] cap_safe_nice
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a658
     0.06%  tracker-extract  [kernel.kallsyms]                 [k] folio_add_new_anon_rmap
     0.06%  InputThread      [kernel.kallsyms]                 [k] fpregs_assert_state_consistent
     0.06%  tracker-extract  libexiv2.so.0.27.6                [.] 0x00000000000bf07d
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000b4b4
     0.06%  pool-tracker-mi  [kernel.kallsyms]                 [k] mas_walk
     0.06%  perf             [kernel.kallsyms]                 [k] sched_setaffinity
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000f9a0
     0.06%  gnome-terminal-  libgobject-2.0.so.0.8000.0        [.] g_type_check_instance_is_a
     0.06%  swapper          [kernel.kallsyms]                 [k] schedule_debug.isra.0
     0.06%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_hash_table_add
     0.05%  Xorg             Xorg                              [.] PickPointer
     0.05%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x00000000002595d9
     0.05%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a5f7
     0.05%  swapper          [kernel.kallsyms]                 [k] pick_eevdf
     0.05%  InputThread      libevdev.so.2.3.0                 [.] libevdev_has_event_code
     0.05%  gnome-shell      [kernel.kallsyms]                 [k] __switch_to_asm
